"NAME,C,20","LGA,C,20","TLAT,N,14,8","TLONG,N,14,8"
Airlie Beach,Whitsunday Regional,-20.27643200,148.69876800
Alpha,Barcaldine Regional,-23.64999000,146.63334000
Aramac,Barcaldine Regional,-22.97193500,145.24319000
Armstrong Beach,Mackay Regional Coun,-21.44880000,149.28240000
Ayr,Burdekin Shire Counc,-19.56074040,147.39210000
Barcaldine,Barcaldine Regional,-23.55189100,145.29562700
Bargara,Bundaberg Regional C,-24.82173400,152.43883800
Bedourie,Diamantina Shire Cou,-24.35972600,139.46959000
Biggenden,North Burnett Region,-25.51139230,152.04361380
Birdsville,Diamantina Shire Cou,-25.89838600,139.35158700
Blackall,Blackall-Tambo Regio,-24.42189400,145.46448900
Blackwater,Central Highlands Re,-23.58590000,148.88340000
Bluewater,Townsville City Coun,-19.17560000,146.54970000
Booubyjan,Gympie Regional Coun,-25.95999470,151.87929420
Boulia,Boulia Shire Council,-22.90974200,139.90688300
Bowen,Whitsunday Regional,-20.01291200,148.24625600
Bundaberg,Bundaberg Regional C,-24.86756100,152.34897890
Burketown,Burke Shire Council,-17.74047100,139.54784900
Burnett Heads,Bundaberg Regional C,-24.76405200,152.40994000
Calen,Mackay Regional Coun,-20.89890000,148.77584000
Camooweal,Mount Isa City Counc,-19.92177300,138.11911900
Campwin Beach,Mackay Regional Coun,-21.38382000,149.30634000
Capella,Central Highlands Re,-23.08567700,148.02422300
Carmila,Isaac Regional Counc,-21.98087900,149.49079000
Charters Towers,Charters Towers Regi,-20.07983500,146.26109360
Cherbourg,Cherbourg Aboriginal,-26.29076600,151.95572800
Clare,Burdekin Shire Counc,-19.78436700,147.22842700
Clermont,Isaac Regional Counc,-22.82658000,147.63436000
Cloncurry,Cloncurry Shire Coun,-20.70294500,140.50539000
Collinsville,Whitsunday Regional,-20.55111000,147.84458100
Coolum,Sunshine Coast Regio,-26.53267700,153.08355300
Coppabella,Isaac Regional Counc,-21.90436580,148.36640050
Dajarra,Cloncurry Shire Coun,-21.69505700,139.51348700
Doomadgee,Doomadgee Aboriginal,-17.95158900,138.84132000
Duaringa,Central Highlands Re,-23.71322600,149.67064300
Duchess,Cloncurry Shire Coun,-21.35626700,139.86233200
Dysart,Isaac Regional Counc,-22.59013800,148.34103100
Elliott Heads,Bundaberg Regional C,-24.90894100,152.48878900
Emerald,Central Highlands Re,-23.47470000,148.15030000
Eungella,Mackay Regional Coun,-21.13117000,148.49379000
Farleigh,Mackay Regional Coun,-21.10786600,149.09928100
Finch Hatton,Mackay Regional Coun,-21.14660000,148.63360000
Gemfields,Central Highlands Re,-23.46560000,147.71970000
Giru,Burdekin Shire Counc,-19.51380900,147.10702000
Glastonbury,Gympie Regional Coun,-26.20691500,152.64791900
Glenden,Isaac Regional Counc,-21.35921000,148.10998000
Gloucester Island,Whitsunday Regional,-20.09267700,148.49688100
Goomeri,Gympie Regional Coun,-26.18174600,152.06773500
Gracemere,Rockhampton Regional,-23.43710000,150.45420000
Grasstree Beach,Mackay Regional Coun,-21.36080000,149.30620000
Green Hill,Isaac Regional Counc,-21.68158000,149.44966000
Greenvale,Charters Towers Regi,-19.00090000,144.98280000
Gregory/Lawn Hills,Burke Shire Council,-18.64810000,139.25640000
Gympie,Gympie Regional Coun,-26.18174200,152.66772600
Halifax,Hinchinbrook Shire C,-18.58546400,146.28715500
Home Hill,Burdekin Shire Counc,-19.65943900,147.41600800
Hughenden,Flinders Shire Counc,-20.85040000,144.19350000
Ilfracombe,Longreach Regional C,-23.49020000,144.50580000
Imbil,Gympie Regional Coun,-26.45951200,152.67118200
Ingham,Hinchinbrook Shire C,-18.65340000,146.15902900
Innes Park,Bundaberg Regional C,-24.86717700,152.44653300
Isisford,Longreach Regional C,-24.25944000,144.44056000
Jericho,Barcaldine Regional,-23.60511700,146.12591300
Julia Creek,McKinlay Shire Counc,-20.65741500,141.74376700
Jundah,Barcoo Shire Council,-24.83302900,143.05938000
Kajabbi,Cloncurry Shire Coun,-20.03340300,140.04089400
Karumba,Carpentaria Shire Co,-17.49860000,140.82740000
Kenilworth,Sunshine Coast Regio,-26.59640000,152.72490000
Kilkivan,Gympie Regional Coun,-26.08359600,152.23677800
Koumala,Mackay Regional Coun,-21.60650000,149.24320000
